year	month	date	average	trend	ndays	stdev	unc
1962	1	1962-01-31	317.94	317.91	-1	-9.99	-0.99
1962	2	1962-02-28	318.55	317.92	-1	-9.99	-0.99
1962	3	1962-03-31	319.68	318.39	-1	-9.99	-0.99
1962	4	1962-04-30	320.57	318.24	-1	-9.99	-0.99
1962	5	1962-05-31	321.02	318.18	-1	-9.99	-0.99
1962	6	1962-06-30	320.62	318.47	-1	-9.99	-0.99
1962	7	1962-07-31	319.61	318.92	-1	-9.99	-0.99
1962	8	1962-08-31	317.4	318.68	-1	-9.99	-0.99
1962	9	1962-09-30	316.25	319.17	-1	-9.99	-0.99
1962	10	1962-10-31	315.42	318.45	-1	-9.99	-0.99
1962	11	1962-11-30	316.69	318.58	-1	-9.99	-0.99
1962	12	1962-12-31	317.7	318.47	-1	-9.99	-0.99
1963	1	1963-01-31	318.74	318.7	-1	-9.99	-0.99
1963	2	1963-02-28	319.07	318.44	-1	-9.99	-0.99
1963	3	1963-03-31	319.86	318.57	-1	-9.99	-0.99
1963	4	1963-04-30	321.38	319.05	-1	-9.99	-0.99
1963	5	1963-05-31	322.25	319.4	-1	-9.99	-0.99
1963	6	1963-06-30	321.48	319.32	-1	-9.99	-0.99
1963	7	1963-07-31	319.74	319.05	-1	-9.99	-0.99
1963	8	1963-08-31	317.77	319.05	-1	-9.99	-0.99
1963	9	1963-09-30	316.21	319.14	-1	-9.99	-0.99
1963	10	1963-10-31	315.99	319.02	-1	-9.99	-0.99
1963	11	1963-11-30	317.07	318.97	-1	-9.99	-0.99
1963	12	1963-12-31	318.35	319.13	-1	-9.99	-0.99
1964	1	1964-01-31	319.57	319.54	-1	-9.99	-0.99
1964	2	1964-02-29	320.01	319.37	-1	-9.99	-0.99
1964	3	1964-03-31	320.74	319.41	-1	-9.99	-0.99
1964	4	1964-04-30	321.84	319.45	-1	-9.99	-0.99
1964	5	1964-05-31	322.26	319.4	-1	-9.99	-0.99
1964	6	1964-06-30	321.89	319.75	-1	-9.99	-0.99
1964	7	1964-07-31	320.44	319.77	-1	-9.99	-0.99
1964	8	1964-08-31	318.69	320	-1	-9.99	-0.99
1964	9	1964-09-30	316.7	319.66	-1	-9.99	-0.99
1964	10	1964-10-31	316.87	319.91	-1	-9.99	-0.99
1964	11	1964-11-30	317.68	319.58	-1	-9.99	-0.99
1964	12	1964-12-31	318.71	319.49	-1	-9.99	-0.99
1965	1	1965-01-31	319.44	319.4	-1	-9.99	-0.99
1965	2	1965-02-28	320.44	319.81	-1	-9.99	-0.99
1965	3	1965-03-31	320.89	319.59	-1	-9.99	-0.99
1965	4	1965-04-30	322.14	319.78	-1	-9.99	-0.99
1965	5	1965-05-31	322.17	319.3	-1	-9.99	-0.99
1965	6	1965-06-30	321.87	319.7	-1	-9.99	-0.99
1965	7	1965-07-31	321.21	320.51	-1	-9.99	-0.99
1965	8	1965-08-31	318.87	320.15	-1	-9.99	-0.99
1965	9	1965-09-30	317.81	320.77	-1	-9.99	-0.99
1965	10	1965-10-31	317.3	320.36	-1	-9.99	-0.99
1965	11	1965-11-30	318.87	320.78	-1	-9.99	-0.99
1965	12	1965-12-31	319.42	320.2	-1	-9.99	-0.99
1966	1	1966-01-31	320.62	320.59	-1	-9.99	-0.99
1966	2	1966-02-28	321.6	320.96	-1	-9.99	-0.99
1966	3	1966-03-31	322.39	321.08	-1	-9.99	-0.99
1966	4	1966-04-30	323.7	321.34	-1	-9.99	-0.99
1966	5	1966-05-31	324.08	321.2	-1	-9.99	-0.99
1966	6	1966-06-30	323.75	321.57	-1	-9.99	-0.99
1966	7	1966-07-31	322.38	321.68	-1	-9.99	-0.99
1966	8	1966-08-31	320.36	321.65	-1	-9.99	-0.99
1966	9	1966-09-30	318.64	321.6	-1	-9.99	-0.99
1966	10	1966-10-31	318.1	321.17	-1	-9.99	-0.99
1966	11	1966-11-30	319.78	321.7	-1	-9.99	-0.99
1966	12	1966-12-31	321.03	321.81	-1	-9.99	-0.99
1967	1	1967-01-31	322.33	322.29	-1	-9.99	-0.99
1967	2	1967-02-28	322.5	321.86	-1	-9.99	-0.99
1967	3	1967-03-31	323.04	321.73	-1	-9.99	-0.99
1967	4	1967-04-30	324.42	322.04	-1	-9.99	-0.99
1967	5	1967-05-31	325	322.12	-1	-9.99	-0.99
1967	6	1967-06-30	324.09	321.91	-1	-9.99	-0.99
1967	7	1967-07-31	322.54	321.84	-1	-9.99	-0.99
1967	8	1967-08-31	320.92	322.21	-1	-9.99	-0.99
1967	9	1967-09-30	319.25	322.23	-1	-9.99	-0.99
1967	10	1967-10-31	319.39	322.47	-1	-9.99	-0.99
1967	11	1967-11-30	320.73	322.65	-1	-9.99	-0.99
1967	12	1967-12-31	321.96	322.75	-1	-9.99	-0.99
1968	1	1968-01-31	322.57	322.54	-1	-9.99	-0.99
1968	2	1968-02-29	323.15	322.51	-1	-9.99	-0.99
1968	3	1968-03-31	323.89	322.55	-1	-9.99	-0.99
1968	4	1968-04-30	325.02	322.62	-1	-9.99	-0.99
1968	5	1968-05-31	325.57	322.68	-1	-9.99	-0.99
1968	6	1968-06-30	325.36	323.19	-1	-9.99	-0.99
1968	7	1968-07-31	324.14	323.46	-1	-9.99	-0.99
1968	8	1968-08-31	322.11	323.43	-1	-9.99	-0.99
1968	9	1968-09-30	320.33	323.32	-1	-9.99	-0.99
1968	10	1968-10-31	320.25	323.33	-1	-9.99	-0.99
1968	11	1968-11-30	321.32	323.25	-1	-9.99	-0.99
1968	12	1968-12-31	322.89	323.69	-1	-9.99	-0.99
1969	1	1969-01-31	324	323.97	-1	-9.99	-0.99
1969	2	1969-02-28	324.42	323.77	-1	-9.99	-0.99
1969	3	1969-03-31	325.63	324.31	-1	-9.99	-0.99
1969	4	1969-04-30	326.66	324.27	-1	-9.99	-0.99
1969	5	1969-05-31	327.38	324.48	-1	-9.99	-0.99
1969	6	1969-06-30	326.71	324.51	-1	-9.99	-0.99
1969	7	1969-07-31	325.88	325.17	-1	-9.99	-0.99
1969	8	1969-08-31	323.66	324.97	-1	-9.99	-0.99
1969	9	1969-09-30	322.38	325.37	-1	-9.99	-0.99
1969	10	1969-10-31	321.78	324.88	-1	-9.99	-0.99
1969	11	1969-11-30	322.86	324.79	-1	-9.99	-0.99
1969	12	1969-12-31	324.12	324.91	-1	-9.99	-0.99
1970	1	1970-01-31	325.06	325.03	-1	-9.99	-0.99
1970	2	1970-02-28	325.98	325.34	-1	-9.99	-0.99
1970	3	1970-03-31	326.93	325.61	-1	-9.99	-0.99
1970	4	1970-04-30	328.13	325.74	-1	-9.99	-0.99
1970	5	1970-05-31	328.08	325.16	-1	-9.99	-0.99
1970	6	1970-06-30	327.67	325.46	-1	-9.99	-0.99
1970	7	1970-07-31	326.34	325.63	-1	-9.99	-0.99
1970	8	1970-08-31	324.69	325.99	-1	-9.99	-0.99
1970	9	1970-09-30	323.1	326.1	-1	-9.99	-0.99
1970	10	1970-10-31	323.06	326.18	-1	-9.99	-0.99
1970	11	1970-11-30	324.01	325.95	-1	-9.99	-0.99
1970	12	1970-12-31	325.13	325.93	-1	-9.99	-0.99
1971	1	1971-01-31	326.17	326.14	-1	-9.99	-0.99
1971	2	1971-02-28	326.68	326.03	-1	-9.99	-0.99
1971	3	1971-03-31	327.17	325.85	-1	-9.99	-0.99
1971	4	1971-04-30	327.79	325.38	-1	-9.99	-0.99
1971	5	1971-05-31	328.93	326	-1	-9.99	-0.99
1971	6	1971-06-30	328.57	326.36	-1	-9.99	-0.99
1971	7	1971-07-31	327.36	326.65	-1	-9.99	-0.99
1971	8	1971-08-31	325.43	326.74	-1	-9.99	-0.99
1971	9	1971-09-30	323.36	326.37	-1	-9.99	-0.99
1971	10	1971-10-31	323.56	326.69	-1	-9.99	-0.99
1971	11	1971-11-30	324.8	326.75	-1	-9.99	-0.99
1971	12	1971-12-31	326.01	326.82	-1	-9.99	-0.99
1972	1	1972-01-31	326.77	326.73	-1	-9.99	-0.99
1972	2	1972-02-29	327.63	326.98	-1	-9.99	-0.99
1972	3	1972-03-31	327.75	326.39	-1	-9.99	-0.99
1972	4	1972-04-30	329.72	327.29	-1	-9.99	-0.99
1972	5	1972-05-31	330.07	327.14	-1	-9.99	-0.99
1972	6	1972-06-30	329.09	326.88	-1	-9.99	-0.99
1972	7	1972-07-31	328.04	327.36	-1	-9.99	-0.99
1972	8	1972-08-31	326.32	327.67	-1	-9.99	-0.99
1972	9	1972-09-30	324.84	327.87	-1	-9.99	-0.99
1972	10	1972-10-31	325.2	328.33	-1	-9.99	-0.99
1972	11	1972-11-30	326.5	328.45	-1	-9.99	-0.99
1972	12	1972-12-31	327.55	328.36	-1	-9.99	-0.99
1973	1	1973-01-31	328.55	328.51	-1	-9.99	-0.99
1973	2	1973-02-28	329.56	328.91	-1	-9.99	-0.99
1973	3	1973-03-31	330.3	328.96	-1	-9.99	-0.99
1973	4	1973-04-30	331.5	329.08	-1	-9.99	-0.99
1973	5	1973-05-31	332.48	329.54	-1	-9.99	-0.99
1973	6	1973-06-30	332.07	329.84	-1	-9.99	-0.99
1973	7	1973-07-31	330.87	330.15	-1	-9.99	-0.99
1973	8	1973-08-31	329.31	330.63	-1	-9.99	-0.99
1973	9	1973-09-30	327.51	330.55	-1	-9.99	-0.99
1973	10	1973-10-31	327.18	330.32	-1	-9.99	-0.99
1973	11	1973-11-30	328.16	330.13	-1	-9.99	-0.99
1973	12	1973-12-31	328.64	329.45	-1	-9.99	-0.99
1974	1	1974-01-31	329.35	329.32	-1	-9.99	-0.99
1974	2	1974-02-28	330.71	330.05	-1	-9.99	-0.99
1974	3	1974-03-31	331.48	330.14	-1	-9.99	-0.99
1974	4	1974-04-30	332.65	330.22	-1	-9.99	-0.99
1974	5	1974-05-31	333.19	330.22	13	0.31	0.16
1974	6	1974-06-30	332.2	329.79	25	0.37	0.14
1974	7	1974-07-31	331.07	330.21	24	0.24	0.09
1974	8	1974-08-31	329.15	330.54	26	0.31	0.12
1974	9	1974-09-30	327.33	330.44	22	0.47	0.19
1974	10	1974-10-31	327.28	330.52	24	0.22	0.09
1974	11	1974-11-30	328.31	330.5	26	0.43	0.16
1974	12	1974-12-31	329.58	330.56	29	0.29	0.1
1975	1	1975-01-31	330.73	330.84	29	0.43	0.15
1975	2	1975-02-28	331.46	330.85	26	0.46	0.17
1975	3	1975-03-31	331.94	330.37	17	0.33	0.15
1975	4	1975-04-30	333.11	330.53	23	0.59	0.24
1975	5	1975-05-31	333.95	330.97	28	0.35	0.13
1975	6	1975-06-30	333.42	331.01	27	0.48	0.18
1975	7	1975-07-31	331.97	331.12	24	0.45	0.18
1975	8	1975-08-31	329.95	331.33	24	0.47	0.18
1975	9	1975-09-30	328.5	331.6	22	0.53	0.22
1975	10	1975-10-31	328.36	331.61	11	0.21	0.12
1975	11	1975-11-30	329.38	331.57	18	0.31	0.14
1975	12	1975-12-31	330.62	331.6	-1	-9.99	-0.99
1976	1	1976-01-31	331.56	331.67	19	0.23	0.1
1976	2	1976-02-29	332.74	332.13	22	0.49	0.2
1976	3	1976-03-31	333.36	331.79	18	0.52	0.23
1976	4	1976-04-30	334.74	332.16	18	0.77	0.35
1976	5	1976-05-31	334.72	331.75	21	0.56	0.23
1976	6	1976-06-30	333.98	331.56	15	0.21	0.1
1976	7	1976-07-31	333.08	332.22	15	0.24	0.12
1976	8	1976-08-31	330.68	332.07	23	0.51	0.2
1976	9	1976-09-30	328.96	332.07	13	0.69	0.37
1976	10	1976-10-31	328.72	331.97	19	0.57	0.25
1976	11	1976-11-30	330.16	332.35	25	0.36	0.14
1976	12	1976-12-31	331.62	332.6	20	0.38	0.16
1977	1	1977-01-31	332.68	332.77	23	0.4	0.16
1977	2	1977-02-28	333.17	332.57	20	0.34	0.15
1977	3	1977-03-31	334.96	333.4	23	0.51	0.21
1977	4	1977-04-30	336.14	333.54	20	0.5	0.21
1977	5	1977-05-31	336.93	333.99	20	0.31	0.13
1977	6	1977-06-30	336.17	333.79	22	0.4	0.16
1977	7	1977-07-31	334.88	334	20	0.23	0.1
1977	8	1977-08-31	332.56	333.9	18	0.46	0.21
1977	9	1977-09-30	331.29	334.36	19	0.46	0.2
1977	10	1977-10-31	331.28	334.5	23	0.29	0.12
1977	11	1977-11-30	332.46	334.69	21	0.43	0.18
1977	12	1977-12-31	333.6	334.59	25	0.36	0.14
1978	1	1978-01-31	334.94	335.01	22	0.52	0.21
1978	2	1978-02-28	335.26	334.59	25	0.5	0.19
1978	3	1978-03-31	336.66	335	28	0.59	0.21
1978	4	1978-04-30	337.69	335.07	18	0.44	0.2
1978	5	1978-05-31	338.02	335.07	26	0.46	0.17
1978	6	1978-06-30	338.01	335.59	17	0.31	0.15
1978	7	1978-07-31	336.5	335.65	20	0.32	0.14
1978	8	1978-08-31	334.42	335.87	19	0.32	0.14
1978	9	1978-09-30	332.36	335.51	17	0.75	0.35
1978	10	1978-10-31	332.45	335.72	21	0.34	0.14
1978	11	1978-11-30	333.76	335.99	24	0.25	0.1
1978	12	1978-12-31	334.91	335.89	26	0.33	0.12
1979	1	1979-01-31	336.14	336.22	27	0.55	0.2
1979	2	1979-02-28	336.69	336	25	0.3	0.11
1979	3	1979-03-31	338.27	336.56	21	0.63	0.26
1979	4	1979-04-30	338.82	336.11	24	0.67	0.26
1979	5	1979-05-31	339.24	336.24	20	0.5	0.22
1979	6	1979-06-30	339.26	336.83	19	0.35	0.15
1979	7	1979-07-31	337.54	336.69	26	0.59	0.22
1979	8	1979-08-31	335.72	337.2	24	0.6	0.23
1979	9	1979-09-30	333.98	337.19	19	0.65	0.29
1979	10	1979-10-31	334.24	337.57	25	0.42	0.16
1979	11	1979-11-30	335.32	337.59	27	0.3	0.11
1979	12	1979-12-31	336.81	337.83	22	0.23	0.09
1980	1	1980-01-31	337.9	338.13	29	0.57	0.2
1980	2	1980-02-29	338.34	337.85	26	0.49	0.18
1980	3	1980-03-31	340.07	338.51	23	0.54	0.22
1980	4	1980-04-30	340.93	338.31	24	0.29	0.11
1980	5	1980-05-31	341.45	338.4	24	0.54	0.21
1980	6	1980-06-30	341.36	338.85	20	0.39	0.17
1980	7	1980-07-31	339.45	338.56	26	0.6	0.22
1980	8	1980-08-31	337.67	339.07	16	1.05	0.5
1980	9	1980-09-30	336.25	339.38	15	0.69	0.34
1980	10	1980-10-31	336.14	339.4	26	0.26	0.1
1980	11	1980-11-30	337.3	339.46	27	0.26	0.1
1980	12	1980-12-31	338.29	339.26	24	0.25	0.1
1981	1	1981-01-31	339.29	339.42	28	0.39	0.14
1981	2	1981-02-28	340.55	339.97	25	0.65	0.25
1981	3	1981-03-31	341.63	340.09	25	0.48	0.19
1981	4	1981-04-30	342.6	340	26	0.46	0.17
1981	5	1981-05-31	343.04	339.98	30	0.19	0.07
1981	6	1981-06-30	342.54	340.05	25	0.29	0.11
1981	7	1981-07-31	340.82	339.92	24	0.46	0.18
1981	8	1981-08-31	338.48	339.87	25	0.48	0.18
1981	9	1981-09-30	336.95	340.16	27	0.55	0.2
1981	10	1981-10-31	337.05	340.39	25	0.39	0.15
1981	11	1981-11-30	338.58	340.74	26	0.31	0.12
1981	12	1981-12-31	339.91	340.85	20	0.28	0.12
1982	1	1982-01-31	340.93	341.09	28	0.3	0.11
1982	2	1982-02-28	341.76	341.15	24	0.49	0.19
1982	3	1982-03-31	342.78	341.18	17	0.41	0.19
1982	4	1982-04-30	343.96	341.34	7	0.42	0.31
1982	5	1982-05-31	344.77	341.68	27	0.37	0.14
1982	6	1982-06-30	343.88	341.42	27	0.37	0.14
1982	7	1982-07-31	342.42	341.61	28	0.35	0.13
1982	8	1982-08-31	340.24	341.64	25	0.61	0.23
1982	9	1982-09-30	338.38	341.56	21	0.59	0.25
1982	10	1982-10-31	338.41	341.77	26	0.5	0.19
1982	11	1982-11-30	339.44	341.58	24	0.39	0.15
1982	12	1982-12-31	340.78	341.7	26	0.3	0.11
1983	1	1983-01-31	341.57	341.75	28	0.47	0.17
1983	2	1983-02-28	342.78	342.24	24	0.37	0.15
1983	3	1983-03-31	343.37	341.86	27	0.88	0.32
1983	4	1983-04-30	345.4	342.78	23	0.29	0.12
1983	5	1983-05-31	346.14	342.97	28	0.51	0.19
1983	6	1983-06-30	345.76	343.29	20	0.3	0.13
1983	7	1983-07-31	344.32	343.56	22	0.57	0.23
1983	8	1983-08-31	342.5	343.89	16	0.73	0.35
1983	9	1983-09-30	340.46	343.59	15	0.5	0.25
1983	10	1983-10-31	340.53	343.86	20	0.31	0.13
1983	11	1983-11-30	341.79	343.92	27	0.33	0.12
1983	12	1983-12-31	343.2	344.12	21	0.25	0.1
1984	1	1984-01-31	344.21	344.32	23	0.4	0.16
1984	2	1984-02-29	344.92	344.38	23	0.32	0.13
1984	3	1984-03-31	345.68	344.26	19	0.3	0.13
1984	4	1984-04-30	347.14	344.54	2	-9.99	-0.99
1984	5	1984-05-31	347.78	344.59	20	0.42	0.18
1984	6	1984-06-30	347.16	344.72	20	0.31	0.13
1984	7	1984-07-31	345.79	345.02	18	0.33	0.15
1984	8	1984-08-31	343.74	345.11	12	0.45	0.25
1984	9	1984-09-30	341.59	344.75	14	0.72	0.37
1984	10	1984-10-31	341.86	345.19	12	0.36	0.2
1984	11	1984-11-30	343.31	345.41	18	0.41	0.19
1984	12	1984-12-31	345	345.88	14	0.53	0.27
1985	1	1985-01-31	345.48	345.59	25	0.38	0.14
1985	2	1985-02-28	346.41	345.91	15	0.37	0.18
1985	3	1985-03-31	347.91	346.57	17	0.34	0.16
1985	4	1985-04-30	348.66	346.1	21	0.61	0.25
1985	5	1985-05-31	349.28	346.13	20	0.51	0.22
1985	6	1985-06-30	348.65	346.22	21	0.34	0.14
1985	7	1985-07-31	346.9	346.08	17	0.36	0.17
1985	8	1985-08-31	345.26	346.57	16	0.57	0.27
1985	9	1985-09-30	343.47	346.58	24	0.57	0.22
1985	10	1985-10-31	343.35	346.6	20	0.29	0.13
1985	11	1985-11-30	344.73	346.82	21	0.4	0.17
1985	12	1985-12-31	346.12	347.04	26	0.62	0.23
1986	1	1986-01-31	346.78	346.82	25	0.31	0.12
1986	2	1986-02-28	347.48	346.97	25	0.45	0.17
1986	3	1986-03-31	348.25	346.94	16	0.7	0.34
1986	4	1986-04-30	349.86	347.32	19	0.38	0.17
1986	5	1986-05-31	350.52	347.42	18	0.31	0.14
1986	6	1986-06-30	349.98	347.6	17	0.25	0.11
1986	7	1986-07-31	348.25	347.43	20	0.47	0.2
1986	8	1986-08-31	346.17	347.51	18	0.48	0.21
1986	9	1986-09-30	345.48	348.61	17	0.63	0.29
1986	10	1986-10-31	344.82	348.04	25	0.32	0.12
1986	11	1986-11-30	346.22	348.28	21	0.3	0.13
1986	12	1986-12-31	347.48	348.36	24	0.35	0.14
1987	1	1987-01-31	348.73	348.66	25	0.46	0.17
1987	2	1987-02-28	348.92	348.23	25	0.58	0.22
1987	3	1987-03-31	349.81	348.39	21	0.35	0.15
1987	4	1987-04-30	351.4	348.86	26	0.68	0.25
1987	5	1987-05-31	352.15	349.09	28	0.37	0.13
1987	6	1987-06-30	351.59	349.28	22	0.21	0.09
1987	7	1987-07-31	350.21	349.51	17	0.73	0.34
1987	8	1987-08-31	348.2	349.65	15	0.85	0.42
1987	9	1987-09-30	346.66	349.85	23	0.61	0.24
1987	10	1987-10-31	346.72	349.96	22	0.41	0.17
1987	11	1987-11-30	348.08	350.14	23	0.33	0.13
1987	12	1987-12-31	349.28	350.14	27	0.2	0.08
1988	1	1988-01-31	350.51	350.49	24	0.21	0.08
1988	2	1988-02-29	351.7	350.99	23	0.57	0.23
1988	3	1988-03-31	352.5	350.99	25	0.78	0.3
1988	4	1988-04-30	353.67	351.03	27	0.48	0.18
1988	5	1988-05-31	354.35	351.22	28	0.37	0.13
1988	6	1988-06-30	353.88	351.55	26	0.3	0.11
1988	7	1988-07-31	352.8	352.15	27	0.49	0.18
1988	8	1988-08-31	350.49	352.01	26	0.62	0.23
1988	9	1988-09-30	348.97	352.18	26	0.47	0.18
1988	10	1988-10-31	349.37	352.62	26	0.31	0.12
1988	11	1988-11-30	350.42	352.53	25	0.2	0.08
1988	12	1988-12-31	351.62	352.52	28	0.36	0.13
1989	1	1989-01-31	353.07	352.99	28	0.45	0.16
1989	2	1989-02-28	353.43	352.69	25	0.38	0.15
1989	3	1989-03-31	354.08	352.6	29	0.53	0.19
1989	4	1989-04-30	355.72	353.07	28	0.47	0.17
1989	5	1989-05-31	355.95	352.78	27	0.49	0.18
1989	6	1989-06-30	355.44	353.06	26	0.42	0.16
1989	7	1989-07-31	354.05	353.38	26	0.41	0.15
1989	8	1989-08-31	351.84	353.43	25	0.48	0.18
1989	9	1989-09-30	350.09	353.37	24	0.69	0.27
1989	10	1989-10-31	350.33	353.57	25	0.34	0.13
1989	11	1989-11-30	351.55	353.68	27	0.36	0.13
1989	12	1989-12-31	352.91	353.84	27	0.48	0.18
1990	1	1990-01-31	353.86	353.78	25	0.34	0.13
1990	2	1990-02-28	355.1	354.37	28	0.66	0.24
1990	3	1990-03-31	355.75	354.26	27	0.57	0.21
1990	4	1990-04-30	356.38	353.76	28	0.55	0.2
1990	5	1990-05-31	357.38	354.23	28	0.3	0.11
1990	6	1990-06-30	356.39	354.02	29	0.4	0.14
1990	7	1990-07-31	354.89	354.24	30	0.89	0.31
1990	8	1990-08-31	353.07	354.68	22	0.62	0.25
1990	9	1990-09-30	351.38	354.69	27	0.72	0.26
1990	10	1990-10-31	351.69	354.94	28	0.3	0.11
1990	11	1990-11-30	353.14	355.18	24	0.2	0.08
1990	12	1990-12-31	354.41	355.26	28	0.51	0.19
1991	1	1991-01-31	354.93	354.9	28	0.51	0.18
1991	2	1991-02-28	355.82	355.11	26	0.54	0.2
1991	3	1991-03-31	357.33	355.79	30	0.73	0.25
1991	4	1991-04-30	358.77	356.13	30	0.66	0.23
1991	5	1991-05-31	359.23	356.1	29	0.52	0.19
1991	6	1991-06-30	358.23	355.88	29	0.3	0.11
1991	7	1991-07-31	356.3	355.69	24	0.46	0.18
1991	8	1991-08-31	353.97	355.6	23	0.39	0.15
1991	9	1991-09-30	352.34	355.66	27	0.37	0.14
1991	10	1991-10-31	352.43	355.69	27	0.25	0.09
1991	11	1991-11-30	353.89	355.87	28	0.25	0.09
1991	12	1991-12-31	355.21	356.02	30	0.34	0.12
1992	1	1992-01-31	356.34	356.29	31	0.6	0.21
1992	2	1992-02-29	357.21	356.47	27	0.56	0.21
1992	3	1992-03-31	357.97	356.38	24	0.72	0.28
1992	4	1992-04-30	359.22	356.51	27	0.53	0.2
1992	5	1992-05-31	359.71	356.52	26	0.74	0.28
1992	6	1992-06-30	359.43	357.07	30	0.49	0.17
1992	7	1992-07-31	357.15	356.58	25	0.63	0.24
1992	8	1992-08-31	354.98	356.66	24	0.62	0.24
1992	9	1992-09-30	353.01	356.36	25	0.98	0.38
1992	10	1992-10-31	353.41	356.72	29	0.56	0.2
1992	11	1992-11-30	354.42	356.48	29	0.34	0.12
1992	12	1992-12-31	355.68	356.5	31	0.32	0.11
1993	1	1993-01-31	357.1	357.06	28	0.58	0.21
1993	2	1993-02-28	357.42	356.54	28	0.49	0.18
1993	3	1993-03-31	358.59	356.88	30	0.72	0.25
1993	4	1993-04-30	359.39	356.71	25	0.53	0.2
1993	5	1993-05-31	360.3	357.14	30	0.45	0.16
1993	6	1993-06-30	359.64	357.24	28	0.35	0.13
1993	7	1993-07-31	357.46	356.87	25	0.78	0.3
1993	8	1993-08-31	355.76	357.44	27	0.62	0.23
1993	9	1993-09-30	354.14	357.51	23	0.73	0.29
1993	10	1993-10-31	354.23	357.61	28	0.29	0.11
1993	11	1993-11-30	355.53	357.65	29	0.26	0.09
1993	12	1993-12-31	357.03	357.92	29	0.28	0.1
1994	1	1994-01-31	358.36	358.25	27	0.33	0.12
1994	2	1994-02-28	359.04	358.21	25	0.5	0.19
1994	3	1994-03-31	360.11	358.41	29	0.82	0.29
1994	4	1994-04-30	361.36	358.59	28	0.5	0.18
1994	5	1994-05-31	361.78	358.59	30	0.45	0.16
1994	6	1994-06-30	360.94	358.57	27	0.3	0.11
1994	7	1994-07-31	359.51	358.91	31	0.41	0.14
1994	8	1994-08-31	357.59	359.29	24	0.43	0.17
1994	9	1994-09-30	355.86	359.3	24	0.58	0.23
1994	10	1994-10-31	356.21	359.63	28	0.28	0.1
1994	11	1994-11-30	357.65	359.8	28	0.51	0.18
1994	12	1994-12-31	359.1	359.96	28	0.46	0.17
1995	1	1995-01-31	360.04	359.91	30	0.47	0.16
1995	2	1995-02-28	361	360.18	28	0.52	0.19
1995	3	1995-03-31	361.98	360.37	29	0.78	0.28
1995	4	1995-04-30	363.44	360.76	29	0.65	0.23
1995	5	1995-05-31	363.83	360.73	29	0.66	0.24
1995	6	1995-06-30	363.33	360.98	27	0.37	0.14
1995	7	1995-07-31	361.78	361.1	28	0.36	0.13
1995	8	1995-08-31	359.33	360.93	24	0.7	0.28
1995	9	1995-09-30	358.32	361.71	24	0.68	0.26
1995	10	1995-10-31	358.14	361.52	29	0.26	0.09
1995	11	1995-11-30	359.61	361.75	26	0.24	0.09
1995	12	1995-12-31	360.82	361.67	30	0.36	0.12
1996	1	1996-01-31	362.2	361.98	29	0.38	0.13
1996	2	1996-02-29	363.36	362.47	28	0.55	0.2
1996	3	1996-03-31	364.28	362.65	28	0.67	0.24
