Animal_ID	Site	Species	Sex	Observed_Stage	PCL	FL	STL	Fin_Clip	Hook_Size	Set	Day	Month	Year	Estimated_Stage
32	Corpus_Christi_Bay	Carcharhinus_leucas	F	YOY	590	662	824	5	10	2	10	6	2016	YOY
33	Corpus_Christi_Bay	Carcharhinus_leucas	F	YOY	620	694	854	4	10	2	10	6	2016	YOY
34	Corpus_Christi_Bay	Carcharhinus_leucas	F	YOY	562	624	784	6	3	5	10	6	2016	YOY
30	Aransas_Bay	Carcharhinus_leucas	F	NA	1042	1140	1410	1	15	1	25	5	2016	JUV
35	Aransas_Bay	Carcharhinus_leucas	F	YOY	642	710	876	7	10	1	13	6	2016	JUV
74	Aransas_Bay	Carcharhinus_leucas	M	NA	720	812	912	34	15	4	22	9	2016	JUV
81	Redfish_Bay	Carcharhinus_leucas	M	NA	740	840	1010	NA	15	3	29	9	2016	JUV
44	Corpus_Christi_Bay	Carcharhinus_limbatus	M	NA	490	548	699	15	10	2	30	6	2016	YOY
87	Aransas_Bay	Carcharhinus_limbatus	F	NA	690	757	940	40	10	2	22	6	2017	JUV
122	Corpus_Christi_Bay	Carcharhinus_porosus	U	NA	335	415	475	100	10	1	3	7	2018	JUV
3	Redfish_Bay	Hypanus_americanus	F	NA	NA	NA	670	154	15	3	29	7	2015	JUV
4	Redfish_Bay	Hypanus_americanus	F	NA	NA	NA	340	NA	10	3	29	7	2015	JUV
79	Redfish_Bay	Hypanus_americanus	F	NA	NA	NA	440	NA	10	2	29	9	2016	JUV
5	Redfish_Bay	Hypanus_americanus	M	NA	NA	NA	810	NA	10	4	29	7	2015	MAT
61	Redfish_Bay	Hypanus_americanus	F	NA	NA	NA	1300	NA	10	3	23	8	2016	MAT
69	Aransas_Bay	Hypanus_americanus	F	NA	NA	NA	1300	NA	15	1	22	9	2016	MAT
72	Aransas_Bay	Hypanus_americanus	F	NA	NA	NA	1450	NA	15	2	22	9	2016	MAT
77	Corpus_Christi_Bay	Hypanus_americanus	F	NA	NA	NA	1800	NA	10	2	27	9	2016	MAT
80	Redfish_Bay	Hypanus_americanus	F	NA	NA	NA	1150	NA	15	2	29	9	2016	MAT
82	Redfish_Bay	Hypanus_americanus	M	NA	NA	NA	860	NA	15	3	29	9	2016	MAT
85	Aransas_Bay	Hypanus_americanus	F	NA	NA	NA	1200	NA	15	2	23	5	2017	MAT
28	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	356	NA	10	2	22	9	2015	MAT
31	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	342	NA	3	3	25	5	2016	MAT
45	Corpus_Christi_Bay	Hypanus_sabina	F	MAT	NA	NA	380	NA	10	4	30	6	2016	MAT
49	Corpus_Christi_Bay	Hypanus_sabina	F	NA	NA	NA	340	NA	10	2	21	7	2016	MAT
57	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	346	NA	3	5	10	8	2016	MAT
70	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	330	NA	10	1	22	9	2016	MAT
71	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	340	NA	10	1	22	9	2016	MAT
73	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	325	NA	10	4	22	9	2016	MAT
116	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	410	92	10	1	18	10	2017	MAT
117	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	360	93	10	3	18	10	2017	MAT
125	Aransas_Bay	Hypanus_sabina	F	NA	NA	NA	320	114	10	4	17	7	2018	MAT
55	Redfish_Bay	Rhinoptera_bonasus	F	NA	NA	NA	819	NA	15	2	1	8	2016	MAT
1	Redfish_Bay	Rhizoprionodon_terraenovae	M	NA	351	378	433	NA	15	1	29	7	2015	YOY
21	Redfish_Bay	Rhizoprionodon_terraenovae	M	NA	406	449	559	NA	10	3	8	9	2015	YOY
25	Redfish_Bay	Rhizoprionodon_terraenovae	F	NA	355	396	495	C2	10	4	8	9	2015	YOY
26	Redfish_Bay	Rhizoprionodon_terraenovae	M	NA	371	413	511	C1	10	4	8	9	2015	YOY
39	Redfish_Bay	Rhizoprionodon_terraenovae	U	NA	345	377	472	10	10	4	16	6	2016	YOY
40	Redfish_Bay	Rhizoprionodon_terraenovae	F	NA	277	306	384	14	10	1	28	6	2016	YOY
41	Redfish_Bay	Rhizoprionodon_terraenovae	F	NA	349	385	470	11	15	1	28	6	2016	YOY
42	Redfish_Bay	Rhizoprionodon_terraenovae	F	NA	319	355	437	12	10	1	28	6	2016	YOY
46	Corpus_Christi_Bay	Rhizoprionodon_terraenovae	F	NA	365	410	506	16	10	4	30	6	2016	YOY
47	Corpus_Christi_Bay	Rhizoprionodon_terraenovae	F	NA	370	418	521	17	10	1	21	7	2016	YOY
52	Corpus_Christi_Bay	Rhizoprionodon_terraenovae	M	NA	345	385	485	NA	10	4	21	7	2016	YOY
86	Aransas_Bay	Rhizoprionodon_terraenovae	M	NA	335	368	460	41	10	2	22	6	2017	YOY
104	Corpus_Christi_Bay	Rhizoprionodon_terraenovae	M	NA	405	445	552	78	10	2	21	8	2017	YOY
143	Corpus_Christi_Bay	Rhizoprionodon_terraenovae	M	NA	414	458	568	168	10	3	2	10	2018	YOY
90	Corpus_Christi_Bay	Sphyrna_lewini	F	NA	192	210	280	44	15	3	6	7	2017	YOY
102	Corpus_Christi_Bay	Sphyrna_lewini	F	NA	520	578	770	72	10	1	21	8	2017	JUV
107	Corpus_Christi_Bay	Sphyrna_lewini	M	NA	490	545	732	82	10	3	21	8	2017	JUV
141	Corpus_Christi_Bay	Sphyrna_lewini	F	NA	495	550	730	166	10	2	2	10	2018	JUV
2	Redfish_Bay	Sphyrna_tiburo	F	NA	470	430	600	A1	10	3	29	7	2015	YOY
7	Corpus_Christi_Bay	Sphyrna_tiburo	M	NA	495	485	615	A4	10	2	24	8	2015	JUV
8	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	550	370	720	A3	10	2	24	8	2015	JUV
9	Corpus_Christi_Bay	Sphyrna_tiburo	M	NA	470	505	645	A5	10	3	24	8	2015	JUV
10	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	540	565	720	A7	10	3	24	8	2015	JUV
11	Corpus_Christi_Bay	Sphyrna_tiburo	M	NA	610	630	800	A6	10	3	24	8	2015	JUV
17	Redfish_Bay	Sphyrna_tiburo	M	NA	533	569	780	B4	10	1	8	9	2015	JUV
22	Redfish_Bay	Sphyrna_tiburo	F	NA	486	529	672	NA	10	3	8	9	2015	JUV
24	Redfish_Bay	Sphyrna_tiburo	M	NA	596	655	812	NA	10	3	8	9	2015	JUV
43	Redfish_Bay	Sphyrna_tiburo	F	NA	690	750	934	13	10	1	28	6	2016	JUV
48	Corpus_Christi_Bay	Sphyrna_tiburo	M	NA	504	546	697	18	10	1	21	7	2016	JUV
51	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	650	706	882	20	10	3	21	7	2016	JUV
54	Redfish_Bay	Sphyrna_tiburo	F	NA	580	616	783	22	10	1	1	8	2016	JUV
58	Redfish_Bay	Sphyrna_tiburo	M	NA	550	600	750	26	10	2	23	8	2016	JUV
59	Redfish_Bay	Sphyrna_tiburo	M	NA	575	630	785	25	15	2	23	8	2016	JUV
62	Corpus_Christi_Bay	Sphyrna_tiburo	M	NA	504	557	682	27	15	1	12	9	2016	JUV
68	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	550	600	759	33	15	3	12	9	2016	JUV
83	Redfish_Bay	Sphyrna_tiburo	F	NA	665	728	931	38	10	4	29	9	2016	JUV
105	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	554	605	780	75	10	2	21	8	2017	JUV
106	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	560	610	782	76	15	2	21	8	2017	JUV
109	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	525	580	738	77	10	4	21	8	2017	JUV
124	Aransas_Bay	Sphyrna_tiburo	F	NA	440	485	614	113	10	2	17	7	2018	JUV
126	Redfish_Bay	Sphyrna_tiburo	M	NA	483	535	650	150	10	2	23	8	2018	JUV
130	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	470	525	670	NA	10	3	30	8	2018	JUV
135	Corpus_Christi_Bay	Sphyrna_tiburo	F	NA	534	575	728	161	10	1	2	10	2018	JUV
18	Redfish_Bay	Sphyrna_tiburo	M	MAT	622	668	850	B5	10	1	8	9	2015	MAT
19	Redfish_Bay	Sphyrna_tiburo	M	MAT	656	710	869	B3	10	1	8	9	2015	MAT
20	Redfish_Bay	Sphyrna_tiburo	F	MAT	708	770	979	B6	15	2	8	9	2015	MAT
60	Redfish_Bay	Sphyrna_tiburo	M	MAT	675	735	910	24	10	2	23	8	2016	MAT
66	Corpus_Christi_Bay	Sphyrna_tiburo	M	MAT	695	757	954	30	10	2	12	9	2016	MAT
67	Corpus_Christi_Bay	Sphyrna_tiburo	F	MAT	760	861	1090	31	10	2	12	9	2016	MAT
76	Corpus_Christi_Bay	Sphyrna_tiburo	M	MAT	621	689	856	NA	10	2	27	9	2016	MAT
84	Redfish_Bay	Sphyrna_tiburo	F	MAT	781	853	1020	39	10	4	29	9	2016	MAT
99	Redfish_Bay	Sphyrna_tiburo	M	MAT	721	783	980	70	10	3	11	8	2017	MAT
